city,name,stars,lat,lon
Albany,The Morgan State House,4,42.65712944473865,-73.76575696042809
Albany,Crowne Plaza Albany,3,42.72828989030761,-73.7990204604252
Albany,Renaissance Albany Hotel,4,42.65079848192482,-73.75565441624647
Albany,Hotel Hilton Garden Inn Albany/Suny Area,3,42.68867564864257,-73.81573584508133
Albany,Homewood Suites by Hilton Albany,5,42.725568109978006,-73.79855964507982
Albany,Hilton Garden Inn Albany Medical Center,5,42.65255736510348,-73.7761624906278
Austin,Renaissance Austin Hotel,4,30.392466570753538,-97.74965851111108
Austin,W Austin,4,30.265704460595394,-97.74676813811223
Austin,DoubleTree Suites,3,30.277615215658972,-97.74257387435118
Austin,Hyatt Place Austin Downtown,3,30.26472574582977,-97.74184566086068
Austin,Four Seasons Hotel Austin,5,30.262021135963955,-97.74252769393114
Austin,Austin Proper Hotel,5,30.266552407414377,-97.75006258784232
Los Angeles,The Ritz-Carlton-Los Angeles,5,34.04549431680771,-118.26651321470743
Los Angeles,Hotel Bel-Air,5,34.086435962865515,-118.44550264539708
Los Angeles,JW Marriott Los Angeles L.A. LIVE,4,34.045400745160066,-118.26644986419313
Los Angeles,InterContinental Los Angeles Downtown,4,34.050314267522296,-118.26029960307106
Los Angeles,Hotel Mr C Beverly Hills,4,34.05550860069034,-118.39850751841648
Los Angeles,Élan Hotel,3,34.07654601935347,-118.37435193349425
Salt Lake City,The Grand America Hotel,5,40.75761122159909,-111.89079747770559
Salt Lake City,Kimpton Hotel Monaco,4,40.76492532878551,-111.89226511817598
Salt Lake City,AC Hotel by Marriott,3,40.76495080272064,-111.89744189119426
Salt Lake City,The Little America Hotel,4,40.75755878731713,-111.89264099305113
Salt Lake City,Residence Inn by Marriott,3,40.7711789574587,-112.00798621632111
Salt Lake City,Hilton Salt Lake City Center,4,40.764168761526086,-111.8932830028306
New Orleans,Windsor Court Hotel,5,29.950039696740827,-90.06645373203338
New Orleans,Nopsi Hotel,5,29.952271884008553,-90.07268218970611
New Orleans,Blake Hotel New Orleans,4,29.94945698270792,-90.07069686149485
New Orleans,Holiday Inn New Orleans-Downtown Superdome,4,29.952974476405693,-90.07499414294837
New Orleans,Four Points by Sheraton French Quarter,4,29.95781447106908,-90.06661280266071
New Orleans,Brent House Hotel,3,29.961462358176,-90.14517535736697
Washington,The Dupont Circle Hotel,5,38.910716695821634,-77.04296857477985
Washington,The Mayflower Hotel,5,38.90469841068632,-77.04016254408936
Washington,Hyatt Regency Washington,4,38.895648633747186,-77.01170145967596
Washington,Glover Park Hotel,4,38.923358490492085,-77.07273684454167
Washington,Courtyard by Marriott,3,38.90454045501166,-77.02444495967575
Washington,Wyndham Garden,3,38.937540801050595,-76.9170733731694
Minneapolis,The Chambers Hotel,5,44.9763200665737,-93.27678175953714
Minneapolis,Royal Sonesta,5,44.9772744470471,-93.27356975953712
Minneapolis,Millennium Minneapolis,4,44.97074501770765,-93.2766892711854
Minneapolis,InterContinental St. Paul Riverfront,4,44.94475808563358,-93.09262428652679
Minneapolis,Embassy Suites Minneapolis,3,45.068381549367544,-93.3046120018645
Minneapolis,Hyatt Place Minneapolis,3,44.97392875678887,-93.26615028652606
Miami,Acqualina Resort and Residences,5,25.940964271679146,-80.12062577339566
Miami,The Betsy Hotel,5,25.786641411576674,-80.1297975868922
Miami,Eurostars Langford,4,25.773846898406973,-80.1913863445628
Miami,Miami Marriott Dadeland,4,25.6860633685519,-80.3138151464102
Miami,Hyatt Regency Miami,3,25.77116782690461,-80.19105944456278
Miami,THesis Hotel Miami,3,25.71301667810504,-80.27856160223392
El Paso,Hotel Paso Del Norte,4,31.75780585730641,-106.48967228864765
El Paso,Stanton House El Paso,4,31.75988369584858,-106.48681134447166
El Paso,The Plaza Hotel Pioneer Park,4,31.75897660898277,-106.4886090733069
El Paso,Hilton Garden Inn El Paso University,3,31.77314592780292,-106.50160600214177
El Paso,Hawthorn Suites,3,31.79278557743469,-106.39381893097669
El Paso,Quality Suites University,3,31.81623866759353,-106.55157998864658
Phoenix,Renaissance Phoenix Downtown Hotel,5,33.4498671907476,-112.07292864444209
Phoenix,The Phoenician,5,33.50685500926685,-111.9524178619019
Phoenix,Embassy Suites Phoenix,4,33.51122881763481,-112.02480427327619
Phoenix,The Hermosa Inn,4,33.51772315603199,-112.00540537327598
Phoenix,Aloft Phoenix Airport,3,33.44883133459057,-111.98600983279391
Phoenix,La Quinta Inn,3,33.62602105487728,-112.11428886162597
Philadelphia,The Rittenhouse Hotel,5,39.95020034649404,-75.17369844615881
Philadelphia,Four Seasons Hotel Philadelphia,5,39.955230691764356,-75.17091621801154
Philadelphia,Philadelphia Marriott Downtown,4,39.95285226620282,-75.16069171732359
Philadelphia,The Inn at Penn,4,39.95399898452097,-75.19577584431245
Philadelphia,Radisson Hotel Philadelphia,3,39.91260506512283,-75.18398274431333
Philadelphia,The Maj Hotel,3,39.96460693227442,-75.17532700013629
Detroit,MGM Grand Detroit,5,42.332805635557456,-83.05855015775363
Detroit,The Siren Hotel,4,42.33586242010846,-83.04860757309424
Detroit,Detroit Foundation Hotel,4,42.328563042200095,-83.04852423076481
Detroit,Atheneum Suite Hotel,3,42.33419113455575,-83.04285852184066
Detroit,Hotel Indigo,3,42.33150550683748,-83.05050369750751
Detroit,Hollywood Casino at Greektown,3,42.336064699834466,-83.0409461178853
Orlando,Waldorf Astoria Orlando,5,28.353995541840504,-81.53447611938371
Orlando,Four Seasons Resort Orlando,5,28.40235596671551,-81.54560570034953
Orlando,Universal's Hard Rock Hotel,4,28.477297858356735,-81.46455261568916
Orlando,Renaissance Orlando at SeaWorld,4,28.41320974769106,-81.46844965986605
Orlando,Universal's Cabana Bay Beach Resort,3,28.46392433584625,-81.47342590219495
Orlando,Universal's Aventura Hotel,3,28.464830914689077,-81.47091105986527
Pasadena,The Langham Huntington,5,34.120514292218154,-118.13303413093531
